Event,Time,Voltage1,Voltage2
3,-5.000065710e-03,6.395478195e-02,-1.906708237e+00
3,-4.980065710e-03,6.315076198e-02,-2.710728358e+00
3,-4.960065710e-03,6.234674202e-02,-3.715753510e+00
3,-4.940065710e-03,6.234674202e-02,-2.911733389e+00
3,-4.920065710e-03,6.154272205e-02,-2.911733389e+00
3,-4.900065710e-03,6.234674202e-02,-3.313743450e+00
3,-4.880065710e-03,6.154272205e-02,-3.112738419e+00
3,-4.860065710e-03,5.913066214e-02,-2.911733389e+00
3,-4.840065710e-03,5.993468211e-02,-2.107713267e+00
3,-4.820065710e-03,5.993468211e-02,-1.906708237e+00
3,-4.800065710e-03,5.913066214e-02,-3.112738419e+00
3,-4.780065710e-03,5.913066214e-02,-2.509723328e+00
3,-4.760065710e-03,6.073870208e-02,-2.107713267e+00
3,-4.740065710e-03,6.315076198e-02,-2.509723328e+00
3,-4.720065710e-03,6.234674202e-02,-2.308718298e+00
3,-4.700065710e-03,6.234674202e-02,-2.308718298e+00
3,-4.680065710e-03,6.154272205e-02,-2.107713267e+00
3,-4.660065710e-03,5.913066214e-02,-2.911733389e+00
3,-4.640065710e-03,5.913066214e-02,-3.112738419e+00
3,-4.620065710e-03,5.832664218e-02,-2.308718298e+00
3,-4.600065710e-03,5.671860224e-02,-1.705703206e+00
3,-4.580065710e-03,5.671860224e-02,-1.504698176e+00
3,-4.560065710e-03,5.511056230e-02,-1.705703206e+00
3,-4.540065710e-03,5.671860224e-02,-2.911733389e+00
3,-4.520065710e-03,5.913066214e-02,-2.308718298e+00
3,-4.500065710e-03,5.913066214e-02,-2.509723328e+00
3,-4.480065710e-03,5.832664218e-02,-2.308718298e+00
3,-4.460065710e-03,5.671860224e-02,-2.308718298e+00
3,-4.440065710e-03,5.591458227e-02,-3.514748480e+00
3,-4.420065710e-03,5.832664218e-02,-2.509723328e+00
3,-4.400065710e-03,5.752262221e-02,-2.308718298e+00
3,-4.380065710e-03,5.752262221e-02,-2.107713267e+00
3,-4.360065710e-03,5.671860224e-02,-2.710728358e+00
3,-4.340065710e-03,5.832664218e-02,-3.514748480e+00
3,-4.320065710e-03,5.913066214e-02,-2.308718298e+00
3,-4.300065710e-03,6.073870208e-02,-1.906708237e+00
3,-4.280065710e-03,5.993468211e-02,-2.509723328e+00
3,-4.260065710e-03,5.752262221e-02,-1.906708237e+00
3,-4.240065710e-03,5.832664218e-02,-2.107713267e+00
3,-4.220065710e-03,5.832664218e-02,-3.916758541e+00
3,-4.200065710e-03,5.832664218e-02,-3.313743450e+00
3,-4.180065710e-03,5.832664218e-02,-2.710728358e+00
3,-4.160065710e-03,5.832664218e-02,-2.710728358e+00
3,-4.140065710e-03,5.913066214e-02,-2.710728358e+00
3,-4.120065710e-03,5.832664218e-02,-1.906708237e+00
3,-4.100065710e-03,5.913066214e-02,-2.308718298e+00
3,-4.080065710e-03,5.591458227e-02,-2.911733389e+00
3,-4.060065710e-03,5.511056230e-02,-3.715753510e+00
3,-4.040065710e-03,5.752262221e-02,-4.318768602e+00
3,-4.020065710e-03,5.671860224e-02,-3.715753510e+00
