Event,Voltage2_Peak_Abs
2,0.2043907078
12,0.144089191
71,0.08378767424
82,0.09986807872
110,0.2365515168
117,0.3209736403
143,0.2365515168
153,0.08780777536
158,0.2646922246
193,0.208410809
200,0.08378767424
276,0.4375565728
331,0.2124309101
335,0.1038881798
344,0.2486118202
351,0.3008731347
364,0.2043907078
404,0.1923304045
413,0.1842902022
447,0.1682097978
448,0.2526319213
457,0.1802701011
494,0.1842902022
551,0.4415766739
646,0.2566520224
673,0.2204711123
674,0.1521293933
708,0.08780777536
750,0.1561494944
780,0.1722298989
841,0.1400690899
859,0.08780777536
876,0.1320288877
877,0.1802701011
884,0.2325314157
961,0.09182787648
982,0.1280087866
987,0.1641896966
1003,0.2204711123
1021,0.09182787648
1135,0.3531344493
1155,0.2606721235
1235,0.1561494944
1236,0.1561494944
1261,0.09986807872
1266,0.17625
1297,0.1320288877
1320,0.1239886854
1360,0.2365515168
1370,0.09182787648
1391,0.1561494944
1413,0.2244912134
